"specimen","taxon","diet","eco_type","tissue","age","formation","strat_mbr","site","continent","lat","lng","paleolat","paleolng","ref","d18O","n","SD","SE"
"","Achelousaurus horneri","H","ornithischian","Dinosaur bone","Campanian","","","Montana","United Sates","","","54.8 (+ 7.6/− 6.8)",NA,"Barrick et al., 1996",15.2865853658537,82,3.27424526013048,0.361579900819542
"2016-13-Macro-1","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",19.725,4,0.512347538297981,0.25617376914899
"2016-13-Macro-10","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",18.0666666666667,6,0.823812276351031,0.336319953483452
"2016-13-Macro-11","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",18.175,4,0.377491721763538,0.188745860881769
"2016-13-Macro-2","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",17.9833333333333,6,0.803533861555732,0.328041325309954
"2016-13-Macro-3","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",19.4333333333333,3,1.36503968196288,0.788106027835793
"2016-13-Macro-4","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",18.05,4,0.932737905308882,0.466368952654441
"2016-13-Macro-5","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",19.0666666666667,3,0.321455025366432,0.185592145427668
"2016-13-Macro-6","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",18.9333333333333,3,0.305505046330388,0.176383420737639
"2016-13-Macro-7","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",18.7,3,0.4,0.230940107675851
"2016-13-Macro-8","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",18.6333333333333,3,0.416333199893227,0.240370085030933
"2016-13-Macro-9","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",18.9666666666667,3,0.723417813807024,0.417665469538056
"AUS 240","Theropoda","C","theropod","Dinosaur bulk tooth","Late Maastrichtian","","","Ausseing","France","","","34.7 (+ 3.7/− 3.4)",NA,"Amiot et al., 2006",18.2,1,NA,NA
"BG52","Goniopholis sp.","C","croc","Crocodilian tooth enamel","Berriasian","","","Cherves-de-Cognac","France","","","32.6 (+ 5.5/− 4.8)",NA,"Amiot et al., 2006",22.1,1,NA,NA
"BG53","Pholidosaurus sp.","C","croc","Crocodilian tooth enamel","Berriasian","","","Cherves-de-Cognac","France","","","32.6 (+ 5.5/− 4.8)",NA,"Amiot et al., 2006",22.4,1,NA,NA
"BG55","?Pleurosternon sp.","?","aquatic turtle","Turtle osteoscute","Berriasian","","","Cherves-de-Cognac","France","","","32.6 (+ 5.5/− 4.8)",NA,"Amiot et al., 2006",21.6,1,NA,NA
"BG56","?Tretosternon sp.","?","","Turtle osteoscute","Berriasian","","","Cherves-de-Cognac","France","","","32.6 (+ 5.5/− 4.8)",NA,"Amiot et al., 2006",23,1,NA,NA
"BG57","Goniopholis sp.","C","croc","Crocodilian osteoderm","Berriasian","","","Cherves-de-Cognac","France","","","32.6 (+ 5.5/− 4.8)",NA,"Amiot et al., 2006",21.8,1,NA,NA
"BG58","Goniopholis sp.","C","croc","Crocodilian osteoderm","Berriasian","","","Cherves-de-Cognac","France","","","32.6 (+ 5.5/− 4.8)",NA,"Amiot et al., 2006",21.3,1,NA,NA
"BR01","Anhanguerid pterosaur","","pterosaur","Tooth enamel","Aptian–Albian","Crato","","Crato Fm.","South America","","","− 10.2",NA,"Amiot et al., 2010",21,1,NA,NA
"BR02","Anhanguerid pterosaur","","pterosaur","Tooth bulk","Aptian–Albian","Crato","","Crato Fm.","South America","","","− 10.2",NA,"Amiot et al., 2010",20.4,1,NA,NA
"BR03","Anhanguerid pterosaur","","pterosaur","Tooth bulk","Aptian–Albian","Crato","","Crato Fm.","South America","","","− 10.2",NA,"Amiot et al., 2010",20.7,1,NA,NA
"BR04","Anhanguerid pterosaur","","pterosaur","Tooth bulk","Aptian–Albian","Crato","","Crato Fm.","South America","","","− 10.2",NA,"Amiot et al., 2010",21.5,1,NA,NA
"BR05","Anhanguerid pterosaur","","pterosaur","Tooth bulk","Aptian–Albian","Crato","","Crato Fm.","South America","","","− 10.2",NA,"Amiot et al., 2010",21.2,1,NA,NA
"BR06","Anhanguerid pterosaur","","pterosaur","Tooth bulk","Aptian–Albian","Crato","","Crato Fm.","South America","","","− 10.2",NA,"Amiot et al., 2010",21.4,1,NA,NA
"BR07","Anhanguerid pterosaur","","pterosaur","Tooth bulk","Aptian–Albian","Crato","","Crato Fm.","South America","","","− 10.2",NA,"Amiot et al., 2010",21.2,1,NA,NA
"BR08","Neoproscinetes penalvai","","marine fish","5 bulk teeth","Aptian–Albian","Romualdo","","Romualdo Fm.","South America","","","− 10.2",NA,"Amiot et al., 2010",22.5,1,NA,NA
"BR09","Neoproscinetes penalvai","","marine fish","Tooth enamel","Aptian–Albian","Romualdo","","Romualdo Fm.","South America","","","− 10.2",NA,"Amiot et al., 2010",22.5,1,NA,NA
"BR10","Neoproscinetes penalvai","","marine fish","Tooth enamel","Aptian–Albian","Romualdo","","Romualdo Fm.","South America","","","− 10.2",NA,"Amiot et al., 2010",21.9,1,NA,NA
"BR11","Vinctifer","","marine fish","Scales","Aptian–Albian","Romualdo","","Romualdo Fm.","South America","","","− 10.2",NA,"Amiot et al., 2010",19.9,1,NA,NA
"BR12","Araripemys","","marine turtle","Shell bone","Aptian–Albian","Romualdo","","Romualdo Fm.","South America","","","− 10.2",NA,"Amiot et al., 2010",19.7,1,NA,NA
"BYUM-CISGO-TS014-1","Chelonia","","turtle indet.","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",14.2,1,NA,NA
"BYUM-CISGO-TS014-2","Chelonia","","turtle indet.","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",14.3,1,NA,NA
"BYUM-CISGO-TS014-3","Chelonia","","turtle indet.","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",13.5,1,NA,NA
"BYUM-CISGO-TS014-4","Chelonia","","turtle indet.","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",14,1,NA,NA
"BYUM-CISGO-TS014-5","Chelonia","","turtle indet.","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",14.5,1,NA,NA
"BYUVP 14452","Utahraptor","","theropod","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",18.24,5,0.630872411823501,0.282134719593318
"BYUVP 18099","Utahraptor","","theropod","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",18.5,5,0.6,0.268328157299975
"BYUVP 18104","Utahraptor","","theropod","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",17.2,5,1.23895116933639,0.554075807087803
"BYUVP 18156","sauropod","","sauropod","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",22.34,5,0.207364413533277,0.092736184954957
"BYUVP 18185","sauropod","","sauropod","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",17.12,5,0.192353840616713,0.0860232526704261
"BYUVP-18171","sauropod","","sauropod","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",22.24,5,0.577061521850141,0.258069758011279
"BYUVP11340","Iguanodontid","","ornithischian","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",21.8666666666667,6,0.535412613473634,0.2185812841434
"BYUVP11532","sauropod","","sauropod","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",25.0142857142857,7,1.64664160381929,0.622372026022627
"BYUVP14173","Utahraptor","","theropod","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",18.575,4,0.457347424467075,0.228673712233538
"CA001","Theropoda","C","theropod","Dinosaur bulk tooth","Late Campanian","","","Onefour","Canada","","","58.6 (+ 8.1/− 7.2)",NA,"Amiot et al., 2006",11.9,1,NA,NA
"CA004","Crocodylia","C","croc","Crocodilian bulk tooth","Late Campanian","","","Onefour","Canada","","","58.6 (+ 8.1/− 7.2)",NA,"Amiot et al., 2006",12,1,NA,NA
"CA006","Chelonia","?","turtle indet.","Osteoscute","Late Campanian","","","Onefour","Canada","","","58.6 (+ 8.1/− 7.2)",NA,"Amiot et al., 2006",14.8,1,NA,NA
"CA010","Ornithopoda","H","ornithischian","Dinosaur bulk tooth","Late Campanian","","","Onefour","Canada","","","58.6 (+ 8.1/− 7.2)",NA,"Amiot et al., 2006",13.9,1,NA,NA
"CEUM 10882","Crocodylomorpha","C","croc","tooth enamel","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",16.7,1,NA,NA
"CEUM 11736","Testudinata indet.","","turtle indet.","osteoscute","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",15.65,6,0.450555213042752,0.183938395484285
"CEUM 11736 ","Testudinata indet.","","turtle indet.","osteoscute","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",13.7,2,0.424264068711928,0.3
"CEUM 12760","small theropod","C","theropod","tooth enamel","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",17.7,1,NA,NA
"CEUM 12843","Naomichelys sp","","terrestrial turtle","osteoscute","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",14.85,6,0.339116499156263,0.138443731048635
"CEUM 26312","small theropod","C","theropod","tooth enamel","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",21.4,1,NA,NA
"CEUM 31232","Acrocanthosaur","C","theropod","tooth enamel","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",24.1,4,0.848528137423856,0.424264068711928
"CEUM 31234","Brachiosaur","H","sauropod","tooth enamel","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",18.03,10,0.612916525039639,0.193821223468088
"CEUM 31946","small theropod","C","theropod","tooth enamel","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",17.6,1,NA,NA
"CEUM 31948","Brachiosaur","H","sauropod","tooth enamel","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",20.8428571428571,14,0.893320758754647,0.238750015410916
"CEUM 35798","Crocodylomorpha","C","croc","tooth enamel","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",17.3,4,0.355902608401043,0.177951304200522
"CEUM 35842","Acrocanthosaur","C","theropod","tooth enamel","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",18.42,5,1.95371441106422,0.873727646352111
"CEUM 38739","small theropod","C","theropod","tooth enamel","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",17.05,2,0.494974746830583,0.35
"CEUM12500","Acrocanthosaur","C","theropod","tooth enamel","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",18.1625,8,0.261520280557469,0.0924613818999973
"CEUM23266","Acrocanthosaur","C","theropod","tooth enamel","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",21.6875,8,1.1357030547513,0.40153166571446
"CHE-02-10","cf. Nuthetes","C","theropod","Dinosaur bulk tooth","Berriasian","","","Cherves-de-Cognac","France","","","32.6 (+ 5.5/− 4.8)",NA,"Amiot et al., 2006",22.6,1,NA,NA
"DB-Acro-1","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.8,1,NA,NA
"DB-Acro-10","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",18.8,1,NA,NA
"DB-Acro-11","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.1,1,NA,NA
"DB-Acro-12","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.1,1,NA,NA
"DB-Acro-13","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.2,1,NA,NA
"DB-Acro-14","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",18.8,1,NA,NA
"DB-Acro-15","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",18.5,1,NA,NA
"DB-Acro-16","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.3,1,NA,NA
"DB-Acro-17","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.1,1,NA,NA
"DB-Acro-18","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",17.8,1,NA,NA
"DB-Acro-19","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",18.5,1,NA,NA
"DB-Acro-2","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",20,1,NA,NA
"DB-Acro-20","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.5,1,NA,NA
"DB-Acro-21","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.7,1,NA,NA
"DB-Acro-22","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.6,1,NA,NA
"DB-Acro-23","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",18.9,1,NA,NA
"DB-Acro-24","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.2,1,NA,NA
"DB-Acro-25","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.6,1,NA,NA
"DB-Acro-26","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.3,1,NA,NA
"DB-Acro-27","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",18.8,1,NA,NA
"DB-Acro-28","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",18.2,1,NA,NA
"DB-Acro-29","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",18,1,NA,NA
"DB-Acro-3","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",20.3,1,NA,NA
"DB-Acro-30","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",17.7,1,NA,NA
"DB-Acro-4","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.7,1,NA,NA
"DB-Acro-5","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",20,1,NA,NA
"DB-Acro-6","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.7,1,NA,NA
"DB-Acro-7","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",20.1,1,NA,NA
"DB-Acro-9","Acrocanthosaur","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",18.4,1,NA,NA
"DB-Brach1","Brachiosaur","","sauropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",23.6064516129032,31,0.535372445979412,0.0961557298569455
"DB-Brach2","Brachiosaur","","sauropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",17.4666666666667,6,0.445720390678581,0.181964587519416
"DB-Brach3","Brachiosaur","","sauropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",17.9571428571429,7,1.28951818244534,0.487392060263771
"DB-Croc1","Crocodile","","croc","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.06,5,0.421900462194579,0.188679622641132
"DB-Croc2","Crocodile","","croc","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.275,4,0.64485140407177,0.322425702035885
"DB-Iguano1","Iguanodontid","","ornithischian","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",14.8,7,0.577350269189626,0.218217890235992
"DB-Iguano2","Iguanodontid","","ornithischian","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",15.1,3,0.264575131106459,0.152752523165195
"DB-Iguano3","Iguanodontid","","ornithischian","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.95,4,0.793725393319377,0.396862696659689
"DB-Theropod1","small theropod","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",15.4090909090909,11,0.372705099118715,0.112374815566272
"DB-Theropod2","small theropod","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.06,5,0.654217089351845,0.292574776766556
"DBDP-107a","Iguanodontid","","ornithischian","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",16.85,2,0.212132034355965,0.15
"DBDP-15","Iguanodontid","","ornithischian","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",20.4,5,1.00747208398049,0.450555213042752
"DBDP-28","Iguanodontid","","ornithischian","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",18.74,5,0.993981891183134,0.444522215417857
"DBDP-57","small theropod","","theropod","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",17.6833333333333,6,1.4274686219552,0.582761624604015
"DBDP-58","Iguanodontid","","ornithischian","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",19.02,5,1.41315250415516,0.631981012372999
"DBSP-3-1","Iguanodontid","","ornithischian","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",16.8,1,NA,NA
"DBSP-3-2","Iguanodontid","","ornithischian","","","Cedar Mountain","","lYCM","","","","",NA,"Suarez et al., 2014",16.45,2,0.353553390593274,0.25
"DMNH-55492","Ornithischian","H","ornithischian","tooth enamel","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",15.0538461538462,13,0.442747830063165,0.122796154107166
"F001","Tarascosaurus salluvicus","C","theropod","Dinosaur tooth enamel","Late Campanian–Early Maastrichtian","","","Cruzy","France","","","35.5 (+ 5.1/− 4.6)",NA,"Amiot et al., 2006",20.7,1,NA,NA
"F002","Tarascosaurus salluvicus","C","theropod","Dinosaur tooth enamel","Late Campanian–Early Maastrichtian","","","Cruzy","France","","","35.5 (+ 5.1/− 4.6)",NA,"Amiot et al., 2006",19.4,1,NA,NA
